,City,Latitude,Longitude,Max. Temp (F),Humidity (%),Cloudiness (%),Wind Speed (MPH),Country,Date
0,rikitea,-23.1203,-134.9692,73.54,74,36,17.83,PF,1627323638
1,norman wells,65.282,-126.8329,60.84,63,75,11.5,CA,1627323638
2,atuona,-9.8,-139.0333,77.52,70,55,25.08,PF,1627323638
3,pitkyaranta,61.5734,31.4792,63.52,81,55,3.31,RU,1627323639
4,mataura,-46.1927,168.8643,42.48,98,91,2.95,NZ,1627323114
5,upernavik,72.7868,-56.1549,45.81,63,100,4.59,GL,1627323639
6,ushuaia,-54.8,-68.3,37.02,93,75,8.05,AR,1627323620
7,pisco,-13.7,-76.2167,70.02,68,0,6.91,PE,1627323640
8,port alfred,-33.5906,26.891,65.55,36,100,10.8,ZA,1627323640
9,choix,26.7092,-108.3219,93.81,37,71,4.72,MX,1627323640
10,hobart,-42.8794,147.3294,53.46,84,90,1.01,AU,1627323641
11,komsomolskiy,40.4272,71.7189,90.32,23,0,4.61,UZ,1627323496
12,albany,42.6001,-73.9662,86.58,51,1,4.0,US,1627323443
13,butaritari,3.0707,172.7902,82.33,73,95,7.52,KI,1627323641
14,hasaki,35.7333,140.8333,72.28,90,100,30.31,JP,1627323641
15,placido de castro,-10.3353,-67.1856,99.21,25,20,4.41,BR,1627323642
16,mayo,38.8876,-76.5119,95.11,67,100,1.99,US,1627323642
17,dingle,10.9995,122.6711,79.36,85,100,11.27,PH,1627323642
18,kapaa,22.0752,-159.319,82.72,79,40,3.0,US,1627323643
19,vila franca do campo,37.7167,-25.4333,72.01,66,0,6.22,PT,1627323643
20,isangel,-19.55,169.2667,71.28,74,63,14.85,VU,1627323643
21,prainha,-1.8,-53.48,92.14,39,87,4.12,BR,1627323644
22,cabo san lucas,22.8909,-109.9124,96.1,69,1,4.0,MX,1627323644
23,tessalit,20.1986,1.0114,103.5,18,44,14.41,ML,1627323644
24,pacific grove,36.6177,-121.9166,71.8,89,90,5.01,US,1627323605
25,sabana grande de boya,18.945,-69.7933,86.5,51,83,6.96,DO,1627323645
26,harper,4.375,-7.7169,77.49,75,79,11.77,LR,1627323645
27,cape town,-33.9258,18.4232,62.35,67,0,10.36,ZA,1627323439
28,busselton,-33.65,115.3333,57.09,68,55,32.73,AU,1627323645
29,korla,41.7597,86.1469,84.34,29,1,16.26,CN,1627323646
30,port lincoln,-34.7333,135.8667,54.28,52,30,17.38,AU,1627323646
31,tuatapere,-46.1333,167.6833,42.82,90,63,4.7,NZ,1627323646
32,dikson,73.5069,80.5464,41.56,91,92,4.61,RU,1627323647
33,quatre cocos,-20.2078,57.7625,66.31,78,20,8.5,MU,1627323647
34,bethel,41.3712,-73.414,89.08,56,1,1.99,US,1627323647
35,kulhudhuffushi,6.6221,73.07,81.93,76,93,9.82,MV,1627323648
36,ukiah,39.1502,-123.2078,95.43,41,1,5.75,US,1627323648
37,lakes entrance,-37.8811,147.981,57.18,57,100,9.24,AU,1627323648
38,srednekolymsk,67.45,153.6833,39.92,78,67,8.7,RU,1627323649
39,fort nelson,58.8053,-122.7002,69.39,52,20,5.75,CA,1627323649
40,uruguaiana,-29.7547,-57.0883,60.73,94,90,20.71,BR,1627323648
41,kirakira,-10.4544,161.9205,77.72,85,100,7.76,SB,1627323649
42,avarua,-21.2078,-159.775,73.45,94,75,4.61,CK,1627323650
43,hithadhoo,-0.6,73.0833,81.18,78,65,9.17,MV,1627323650
44,calama,-22.4667,-68.9333,64.89,9,0,19.57,CL,1627323650
45,carnarvon,-24.8667,113.6333,71.67,84,90,13.8,AU,1627323651
46,narsaq,60.9167,-46.05,66.42,50,44,3.56,GL,1627323651
47,palana,59.1167,159.9667,49.53,98,100,19.66,RU,1627323651
48,bubaque,11.2833,-15.8333,81.01,79,86,11.5,GW,1627323652
49,willemstad,12.1084,-68.9335,89.51,66,20,13.8,CW,1627323652
50,kalaleh,37.3807,55.4916,85.6,62,40,4.61,IR,1627323653
51,yellowknife,62.456,-114.3525,70.32,53,75,11.5,CA,1627323646
52,jamestown,42.097,-79.2353,84.29,44,20,8.05,US,1627323368
53,fairbanks,64.8378,-147.7164,64.36,75,75,5.75,US,1627323653
54,barrow,71.2906,-156.7887,44.62,98,90,9.22,US,1627323653
55,axim,4.8699,-2.2405,77.43,74,87,9.93,GH,1627323654
56,san cristobal,7.7669,-72.225,78.98,61,73,7.49,VE,1627323654
